node,implementationID,data,time,towerID
2,0,4.38755,"2011-11-01 00:19:06",2
2,6,12.7301,"2011-11-01 00:19:06",2
2,5,8.82,"2011-11-01 00:19:06",2
2,1,257.576,"2011-11-01 00:19:06",2
3,6,12.8512,"2011-11-01 00:19:06",3
3,5,9.36,"2011-11-01 00:19:06",3
3,1,106.061,"2011-11-01 00:19:06",3
3,0,0.574642,"2011-11-01 00:19:06",3
4,2,106.061,"2011-11-01 00:49:07",1
4,3,0.6352,"2011-11-01 00:49:07",1
4,4,0.6807,"2011-11-01 00:49:07",1
5,4,0.6842,"2011-11-01 00:49:07",2
5,2,106.061,"2011-11-01 00:49:07",2
5,3,0.6612,"2011-11-01 00:49:07",2
6,2,106.061,"2011-11-01 00:49:07",3
6,3,0.7022,"2011-11-01 00:49:07",3
6,4,0.6957,"2011-11-01 00:49:07",3
2,0,4.78656,"2011-11-01 01:19:10",2
2,6,12.6565,"2011-11-01 01:19:10",2
2,5,5.89,"2011-11-01 01:19:10",2
2,1,1166.67,"2011-11-01 01:19:10",2
3,6,12.7135,"2011-11-01 01:19:10",3
3,5,5.68,"2011-11-01 01:19:10",3
3,1,257.576,"2011-11-01 01:19:10",3
3,0,1.58839,"2011-11-01 01:19:10",3
4,4,0.6807,"2011-11-01 01:19:10",1
4,2,106.061,"2011-11-01 01:19:10",1
4,3,0.6432,"2011-11-01 01:19:10",1
5,3,0.6707,"2011-11-01 01:49:08",2
5,4,0.6797,"2011-11-01 01:49:08",2
5,2,560.606,"2011-11-01 01:49:08",2
6,2,863.636,"2011-11-01 01:49:08",3
6,3,0.6987,"2011-11-01 01:49:08",3
6,4,0.7002,"2011-11-01 01:49:08",3
2,1,1318.18,"2011-11-01 02:19:10",2
2,0,4.79818,"2011-11-01 02:19:10",2
2,6,12.556,"2011-11-01 02:19:10",2
2,5,1.42,"2011-11-01 02:19:10",2
3,6,12.5686,"2011-11-01 02:19:10",3
3,5,1.62,"2011-11-01 02:19:10",3
3,1,106.061,"2011-11-01 02:19:10",3
3,0,1.00903,"2011-11-01 02:19:10",3
4,3,0.6407,"2011-11-01 02:19:10",1
4,4,0.6657,"2011-11-01 02:19:10",1
4,2,106.061,"2011-11-01 02:19:10",1
5,4,0.6802,"2011-11-01 02:49:08",2
5,3,0.6797,"2011-11-01 02:49:08",2
5,2,712.121,"2011-11-01 02:49:08",2
6,4,0.7082,"2011-11-01 02:49:08",3
6,2,863.636,"2011-11-01 02:49:08",3
6,3,0.6952,"2011-11-01 02:49:08",3
2,5,2.57,"2011-11-01 03:19:14",2
2,1,560.606,"2011-11-01 03:19:14",2
2,0,5.30769,"2011-11-01 03:19:14",2
2,6,12.5694,"2011-11-01 03:19:14",2
3,0,0.918098,"2011-11-01 03:19:14",3
